-1,0.83333,-0.84,-1,-0.49206,3
1,0.16667,-0.84,-1,-0.55556,3
-1,0.83333,-0.84,1,0.46032,3
-1,-0.66667,-0.92,1,-0.047619,3
1,-0.5,-0.2,1,0.65079,3
1,0.83333,-0.84,-1,-0.46032,3
1,-0.33333,-0.68,1,-0.49206,3
1,-0.25,-0.84,1,-0.2381,3
-1,0.75,-0.84,-1,0.74603,3
1,0.16667,-0.84,-1,-0.46032,3
1,-0.25,0.68,1,-0.80952,3
1,0,-1,1,-0.14286,3
1,0.41667,0.6,1,-0.1746,3
1,-0.58333,0.28,1,0.14286,3
1,-0.58333,0.28,1,0.2381,2
1,-0.58333,0.28,1,0.26984,2
1,-0.5,-0.2,1,-0.77778,2
1,0.75,-0.84,1,0.36508,2
1,0,-0.84,-1,-0.77778,2
1,-0.5,0.92,1,0.2381,2
1,1,-0.52,1,-0.2381,2
1,1,-0.52,1,-0.36508,2
1,-0.91667,-0.36,1,-0.11111,2
1,-1,0.12,-1,-0.39683,2
1,0.16667,-0.04,1,0.079365,2
1,-0.5,-0.2,1,-0.68254,2
1,-0.41667,-0.84,1,-0.33333,2
1,0.083333,0.12,1,0.11111,2
1,0.66667,-0.92,1,0.2381,1
1,0.75,-0.84,1,-0.20635,1
1,-0.16667,-1,1,0.52381,1
1,0.41667,-0.68,1,-0.49206,1
1,0,-1,1,-0.11111,1
-1,0,-0.84,-1,-0.68254,1
1,-0.66667,-0.92,1,0.079365,1
1,0.25,-0.44,1,0.047619,1
1,-0.75,0.2,1,-0.42857,1
1,-0.66667,-0.92,1,0.42857,1
1,0.083333,0.12,1,0.11111,1
-1,0.83333,-0.84,-1,-0.49206,3
1,0.16667,-0.84,-1,-0.55556,3
-1,0.83333,-0.84,1,0.46032,3
-1,-0.66667,-0.92,1,-0.047619,3
1,-0.5,-0.2,1,0.65079,3
1,0.83333,-0.84,-1,-0.46032,3
1,-0.33333,-0.68,1,-0.49206,3
1,-0.25,-0.84,1,-0.2381,3
-1,0.75,-0.84,1,0.74603,3
1,0.16667,-0.84,-1,-0.46032,3
1,-0.25,0.68,1,-0.80952,3
1,0,-1,1,-0.14286,3
1,0.41667,0.6,1,-0.1746,3
1,-0.58333,0.28,1,0.14286,3
1,-0.58333,0.28,1,0.2381,2
1,-0.58333,0.28,1,0.26984,2
1,-0.5,-0.2,1,-0.77778,2
1,0.75,-0.84,1,0.36508,2
1,0,-0.84,-1,-0.77778,2
1,-0.5,0.92,1,0.2381,2
1,1,-0.52,1,-0.2381,2
1,1,-0.52,1,-0.36508,2
1,-0.91667,-0.36,1,-0.11111,2
1,-1,0.12,-1,-0.39683,2
1,0.16667,-0.04,1,0.079365,2
1,-0.5,-0.2,1,-0.68254,2
1,-0.41667,-0.84,1,-0.33333,2
1,0.083333,0.12,1,0.11111,2
1,0.66667,-0.92,1,0.2381,1
1,0.75,-0.84,1,-0.20635,1
1,-0.16667,-1,1,0.52381,1
1,0.41667,-0.68,1,-0.49206,1
1,0,-1,1,-0.11111,1
-1,0,-0.84,-1,-0.68254,1
1,-0.66667,-0.92,1,0.079365,1
1,0.25,-0.44,1,0.047619,1
1,-0.75,0.2,1,-0.42857,1
1,-0.66667,-0.92,1,0.42857,1
1,0.083333,0.12,1,0.11111,1
-1,0.83333,-0.84,-1,-0.30159,3
-1,0,-0.84,-1,-0.55556,3
1,0.25,0.44,1,-0.74603,3
1,-0.33333,-0.92,1,0.14286,3
1,0,-0.84,-1,-0.74603,3
1,0.41667,0.6,1,-0.49206,3
-1,0.75,-0.84,1,0.33333,3
1,-0.5,-0.2,-1,-0.46032,3
1,0.83333,-0.84,-1,-0.46032,3
-1,0.83333,-0.84,-1,-0.46032,3
-1,0.83333,-0.84,1,0.11111,3
1,0.083333,0.68,1,-0.55556,3
-1,0.33333,0.28,1,-0.49206,3
1,-0.33333,-0.68,1,-0.33333,3
1,0.41667,0.92,1,-0.30159,3
-1,0.33333,0.28,1,-0.11111,3
1,-1,0.12,1,-0.11111,3
1,-1,-0.44,1,-0.52381,2
-1,-0.16667,0.2,1,-0.39683,2
-1,0.75,-0.04,1,-0.2381,2
1,-0.33333,-0.92,1,-0.65079,2
1,0,-1,1,-0.46032,2
-1,-0.58333,0.28,1,0.015873,2
1,0.83333,-0.84,-1,-0.46032,2
-1,0.83333,-0.84,-1,-0.46032,2
1,-0.58333,0.28,1,0.079365,2
-1,0.75,-0.84,1,-0.61905,2
1,0.58333,-0.92,1,-0.30159,2
1,0.83333,-0.84,1,-0.77778,2
1,0.58333,-0.92,1,-0.65079,1
-1,0.83333,-0.84,1,0.11111,1
1,0,-1,1,-0.1746,1
1,-0.25,-0.84,1,-0.49206,1
1,-0.5,-0.2,1,-0.14286,1
-1,0.083333,0.12,1,-0.079365,1
1,-0.41667,-0.84,1,-0.2381,1
1,-0.083333,-0.52,1,-0.015873,1
1,-0.41667,-0.52,1,-0.36508,1
1,0.16667,-1,1,1,1
1,0.83333,-0.84,1,-0.71429,1
1,-0.91667,-0.36,1,-0.1746,1
1,0.16667,-1,1,-0.49206,1
1,0.58333,-0.92,1,-1,1
1,0,0.04,1,-0.55556,3
1,-0.33333,-0.6,1,-0.87302,3
-1,-0.25,-0.84,1,-0.42857,3
1,0.083333,0.12,1,0.047619,3
-1,0,-1,1,0.61905,3
-1,-0.41667,-0.84,1,-0.1746,3
1,0.58333,-0.92,1,0.33333,3
1,0.75,-1,1,-0.74603,2
1,0.41667,-0.12,1,-0.5873,2
1,0.58333,0.12,1,-0.52381,2
-1,0.33333,0.36,1,0.30159,2
1,0.083333,0.76,1,-0.55556,2
1,0.91667,1,1,-0.42857,2
1,-0.33333,0.84,1,-0.46032,2
1,-0.083333,-0.44,1,-0.33333,2
1,-0.33333,-0.6,1,-0.93651,2
1,0.75,-1,1,0.2381,2
1,-0.5,-0.2,1,-0.14286,1
1,-0.25,-0.84,1,-0.49206,1
1,0.83333,-0.84,1,-0.74603,1
1,0.33333,0.36,1,-0.1746,1
1,0.25,0.52,1,-0.61905,1
1,-0.83333,-0.92,1,0.079365,1
1,0.5,-0.76,1,-0.77778,1
1,0.83333,-0.84,1,-0.33333,1
1,-0.83333,-0.92,1,-0.26984,1
1,-0.25,-0.84,1,-0.71429,1
-1,0.41667,-0.52,1,0.42857,1
1,0.75,-1,1,0.52381,1
1,-0.91667,-0.28,1,-0.2381,1
